id,speechtime,wordcount,segmentcount,videoduration
07476,344.16,104,1,344
07477,281.07000000000005,28,4,290
07478,366.81,9,2,377
07479,1699.2900000000004,2930,152,1800
07480,273.96000000000004,10,4,275
07481,1945.8600000000004,2125,256,2154
07482,223.5,8,1,230
07483,261.24,8,1,265
07484,364.86,467,8,380
07485,188.88,29,1,194
07486,209.69999999999996,80,5,226
07487,189.12,17,1,202
07488,342.30000000000007,640,8,348
07489,362.15999999999997,21,1,373
07490,582.51,649,24,597
07491,500.46000000000004,14,2,504
07492,277.98,15,1,285
07493,168.69,57,5,194
07494,552.57,923,22,575
07495,229.38000000000002,15,3,239
07496,174.60000000000002,14,7,210
07497,439.95000000000005,73,5,457
07498,248.91000000000003,16,3,259
07499,223.38,8,3,255
07500,177.92999999999998,6,2,189
07501,238.74,6,1,243
07502,216.69000000000003,451,7,243
07503,189.81,8,1,193
07504,110.64000000000001,4,1,367
07505,183.57000000000002,68,9,199
07506,194.13,113,1,203
07507,261.84000000000003,138,30,354
07508,754.2600000000001,2423,55,779
07509,261.48,53,1,285
07510,226.41,8,1,230
07511,299.85,524,3,311
07512,227.94000000000005,418,27,265
07513,255.48,307,7,259
07514,236.42999999999998,5,2,239
07515,366.63,7,2,369
07516,277.17,31,1,282
07517,2507.249999999999,3995,101,2596
07518,245.37000000000003,580,15,282
07519,200.49,8,1,219
07520,474.59999999999985,614,77,579
07521,485.1300000000001,1205,108,560
07522,214.41,2,1,244
07523,476.66999999999996,1066,6,503
07524,286.23,27,2,290
07525,271.74,17,1,278
07526,1643.1600000000005,1490,162,1789
07527,264.75,4,2,278
07528,621.2100000000002,38,11,660
07529,479.96999999999997,41,11,508
07530,339.15,10,1,339
07531,196.44,12,2,200
07532,522.27,1367,124,599
07533,226.32,13,2,228
07534,319.14000000000004,22,1,320
07535,69.09,72,13,346
07536,227.52,329,16,236
07537,263.67,10,1,264
07538,351.51,288,3,352
07539,645.6599999999999,910,34,710
07540,254.25,619,49,303
07541,797.4300000000001,154,24,1134
07542,1320.8099999999997,1550,50,1391
07544,156.20999999999998,8,3,425
07545,259.14,400,1,260
07546,449.94000000000005,44,11,469
07547,208.8,13,2,210
07548,404.78999999999985,179,23,566
07549,229.23,12,1,230
07550,199.89,305,32,230
07551,233.1,5,2,262
07552,283.5,102,15,305
07553,325.16999999999996,36,7,359
07554,211.98000000000002,19,4,241
07555,236.4,96,3,240
07556,243.21,99,1,249
07557,224.7,8,1,234
07558,195.20999999999995,244,22,260
07559,692.58,12,1,710
07560,711.5100000000001,1175,69,771
07561,782.9700000000001,294,60,1161
07562,435.96,232,5,441
07563,213.51000000000002,28,8,225
07564,215.31000000000006,532,23,222
07565,230.67,290,1,235
07566,247.53000000000006,218,61,531
07567,339.78000000000003,12,3,351
07568,170.76,17,6,190
07569,557.5799999999999,1508,55,590
07570,178.41,28,1,183
07571,367.02,166,3,372
07572,268.65,12,1,270
07573,242.09999999999997,238,29,262
07574,223.41,3,1,227
07575,576.09,62,12,597
07576,224.73000000000002,10,3,255
07577,200.94,10,1,202
07578,231.84,5,1,239
07579,182.01,29,1,194
07580,207.06,7,1,208
07581,474.72,17,1,475
07582,215.79,12,1,232
07583,470.25,22,6,567
07584,885.45,36,2,900
07585,304.9200000000001,23,8,311
07586,205.23,12,1,206
07587,965.2799999999999,1366,168,1476
07588,248.73,13,1,249
07589,316.0800000000001,26,6,327
07590,269.1,17,6,318
07591,240.36,11,3,266
07592,182.82,106,1,186
07593,363.51,19,2,372
07594,216.39000000000001,9,1,232
07595,274.56,11,4,309
07596,648.0600000000003,68,13,928
07597,544.1699999999998,367,19,584
07598,309.63,11,1,312
07599,1685.7300000000007,252,28,1706
07600,547.8299999999999,686,107,620
07601,170.88,8,3,216
07602,947.3700000000001,819,85,1110
07603,497.22,33,1,507
07604,310.26000000000005,634,7,341
07605,252.02999999999997,20,5,292
07606,654.9300000000001,1708,85,698
07607,198.48,18,1,202
07608,79.50000000000001,8,2,274
07609,254.19,16,3,263
07610,214.88999999999996,149,17,244
07611,315.51,160,1,318
07612,170.40000000000006,304,36,223
07613,197.55,8,1,228
07614,1265.28,41,8,1339
07615,1069.86,1051,164,1541
07616,263.52,382,13,281
07618,184.35,394,1,184
07619,177.20999999999998,17,1,182
07620,163.76999999999998,66,9,194
07621,197.79000000000005,174,20,229
07622,199.35000000000002,3,1,211
07623,333.18,19,3,368
07624,1783.2599999999998,3813,99,1856
07625,194.85,92,1,195
07626,390.24,4,2,401
07627,269.79,14,1,277
07628,1137.0300000000004,952,131,1199
07629,1740.9300000000005,886,41,1755
07630,617.19,46,4,619
07631,219.69,22,2,220
07632,276.09,426,1,281
07633,345.33,9,2,349
07634,179.22,8,1,190
07635,175.85999999999999,35,4,183
07636,233.22,2,1,254
07637,229.98,17,2,239
07638,422.7000000000001,1052,17,434
07639,192.72,4,1,204
07640,2834.8800000000024,1362,239,3600
07641,332.49,48,6,342
07642,2364.2099999999996,178,38,2573
07643,265.95000000000005,640,41,300
07644,184.64999999999998,207,4,203
07645,657.33,483,112,768
07646,601.0500000000001,1256,38,685
07647,191.82,11,2,206
07648,487.11000000000007,65,5,503
07649,192.80999999999995,153,20,195
07650,2017.59,76,4,2022
07651,244.79999999999998,21,6,298
07652,221.55,28,2,234
07653,208.53,423,11,220
07654,446.0400000000001,15,7,480
07655,269.49,46,1,273
07656,849.39,75,2,850
07657,215.73000000000002,11,2,231
07658,202.71,19,2,203
07659,434.76,20,2,441
07660,192.96,2,1,194
07661,155.67000000000002,20,2,180
07662,287.28000000000003,3,1,300
07663,133.19999999999996,145,45,229
07664,184.73999999999998,4,1,186
07665,295.68,2,1,313
07666,177.27,7,1,181
07667,558.8399999999997,1256,205,922
07668,525.39,60,2,526
07669,189.12,2,1,190
