"category","count"
"/categories/art","891"
"/categories/art/homesandliving/videos","11"
"/categories/art/personaltechdesign/videos","17"
"/categories/cameratechniques","703"
"/categories/cameratechniques/drones/videos","191"
"/categories/cameratechniques/macroandslomo/videos","18"
"/categories/cameratechniques/timelapse/videos","252"
"/categories/comedy","315"
"/categories/comedy/comicnarrative/videos","69"
"/categories/documentary","1787"
"/categories/documentary/artsandcraft/videos","82"
"/categories/documentary/cultureandtech/videos","124"
"/categories/documentary/nature/videos","191"
"/categories/documentary/people/videos","272"
"/categories/documentary/sportsdocumentary/videos","32"
"/categories/fashion","226"
"/categories/fashion/fashionprofiles/videos","5"
"/categories/food","131"
"/categories/food/profiles/videos","26"
"/categories/hd/canon/videos","1122"
"/categories/hd/dslr/videos","528"
"/categories/hd/pockethd/videos","4"
"/categories/hd/red/videos","27"
"/categories/hd/slowmotion/videos","36"
"/categories/instructionals","389"
"/categories/instructionals/healthandfitness/videos","52"
"/categories/instructionals/martialarts/videos","11"
"/categories/instructionals/outdoorskills/videos","6"
"/categories/journalism","1209"
"/categories/journalism/nonprofit/videos","80"
"/categories/journalism/politics/videos","155"
"/categories/journalism/startups/videos","12"
"/categories/journalism/videojournalism/videos","226"
"/categories/music","1347"
"/categories/music/musicdocumentary/videos","52"
"/categories/narrative","2614"
"/categories/narrative/comedicfilm/videos","90"
"/categories/narrative/drama/videos","73"
"/categories/narrative/horror/videos","38"
"/categories/narrative/lyrical/videos","11"
"/categories/narrative/musical/videos","3"
"/categories/narrative/romance/videos","34"
"/categories/narrative/scifi/videos","14"
"/categories/personal","1200"
"/categories/personal/cameo/videos","8"
"/categories/personal/stories/videos","221"
"/categories/productsandequipment/cameras/videos","25"
"/categories/productsandequipment/editingproducts/videos","74"
"/categories/productsandequipment/lighting/videos","13"
"/categories/productsandequipment/producttutorials/videos","9"
"/categories/sports","2036"
"/categories/sports/bikes/videos","211"
"/categories/sports/everythingelse/videos","43"
"/categories/sports/outdoorsports/videos","522"
"/categories/sports/skate/videos","227"
"/categories/sports/sky/videos","132"
"/categories/sports/snow/videos","96"
"/categories/sports/surf/videos","104"
"/categories/technology/installations/videos","8"
"/categories/technology/personaltech/videos","2"
"/categories/technology/software/videos","9"
"/categories/technology/techdocs/videos","21"
"/categories/travel","2450"
"/categories/travel/africa/videos","15"
"/categories/travel/antarctica/videos","2"
"/categories/travel/asia/videos","82"
"/categories/travel/australasia/videos","12"
"/categories/travel/europe/videos","124"
"/categories/travel/northamerica/videos","53"
"/categories/travel/southamerica/videos","21"
"/categories/travel/space/videos","6"
