dist,count_sum
0,7095614
1,185787
2,106673
3,66320
4,84115
5,54344
6,35257
7,38170
8,36727
9,31921
10,54398
11,35206
12,19932
13,12252
14,23924
15,27796
16,27682
17,19805
18,19854
19,19837
20,12158
21,15983
22,12189
23,8123
24,8270
25,11883
26,4516
27,27361
28,4452
29,8215
30,8275
31,23309
32,8224
33,465
34,4387
35,12121
36,11942
37,4245
38,4337
39,12022
40,4423
41,12284
42,19881
43,16247
44,15967
45,12119
46,4515
47,19666
48,4560
49,12017
50,4431
51,4416
52,15944
53,16092
54,12017
55,528
56,4446
57,8329
58,12135
59,15947
60,4411
61,11919
62,520
63,4343
64,4400
65,15823
66,531
67,554
68,734
69,19819
70,16120
71,15668
72,4415
73,8172
74,4428
75,11934
76,506
77,12106
78,12110
79,8041
80,469
81,8273
82,8037
83,445
84,494
85,698
86,15863
87,12052
88,4271
89,8234
90,8147
91,11945
92,564
93,8414
94,8110
95,4292
96,432
97,502
98,8007
99,353
100,433
101,4221
102,489
103,4364
104,8171
105,8296
106,12026
107,4451
108,4406
109,8319
110,795
111,15880
112,8276
113,4545
114,15854
115,4373
116,8156
117,493
118,699
119,4467
120,8025
121,583
122,685
123,12093
124,4437
125,8235
126,771
127,19718
128,719
129,8455
130,11985
131,4557
132,15919
133,8274
134,560
135,4442
136,4461
137,8201
138,8267
139,4408
140,634
141,12015
142,588
143,611
144,8221
145,4454
146,4390
147,627
148,872
149,19730
150,4434
151,4429
152,4505
153,4566
154,8321
155,4572
156,4440
157,596
158,696
159,4500
160,12191
161,695
162,4545
163,8417
164,4570
165,12253
166,4677
167,4890
168,27485
169,769
170,4598
171,12241
172,12174
173,1729
174,7351
175,8514
176,19748
177,662
178,678
179,4414
180,4322
181,877
182,12097
183,675
184,751
185,12252
186,8525
187,15973
188,805
189,8273
190,825
191,8290
192,756
193,8327
194,4490
195,823
196,4640
197,8375
198,4585
199,12344
200,4568
201,8405
202,8343
203,4504
204,617
205,4510
206,727
207,904
208,12065
209,12089
210,738
211,4498
212,4573
213,850
214,4594
215,4757
216,23808
217,8589
218,12368
219,8390
220,8365
221,4521
222,764
223,4545
224,8558
225,12155
226,644
227,4485
228,733
229,891
230,12331
231,8497
232,8649
233,16107
234,8464
235,12443
236,8554
237,8393
238,4559
239,12296
240,4636
241,16075
242,4525
243,609
244,623
245,4473
246,4443
247,766
248,4428
249,628
250,809
251,4655
252,8878
253,4080
254,4715
255,1477
256,8263
257,12538
258,5022
259,8675
260,14608
261,69590
262,8759
263,4918
264,12489
265,888
266,4796
267,8523
268,850
269,4688
270,1010
271,12422
272,4836
273,8622
274,8593
275,4850
276,12475
277,8574
278,992
279,12246
280,4676
281,8458
282,848
283,4843
284,8544
285,910
286,8508
287,823
288,8507
289,877
290,8389
291,925
292,4845
293,12360
294,8628
295,4729
296,12410
297,4779
298,12402
299,994
300,8486
301,4678
302,4826
303,12518
304,12296
305,1007
306,4654
307,8577
308,8571
309,8586
310,4756
311,8431
312,4677
313,938
314,8504
315,4893
316,12335
317,949
318,8421
319,995
320,12379
321,955
322,4791
323,8706
324,12271
325,947
326,12163
327,859
328,4584
329,966
330,16110
331,4721
332,774
333,4660
334,817
335,16150
336,737
337,4589
338,1051
339,4458
340,838
341,4775
342,4636
343,4524
344,837
345,4693
346,946
347,16203
348,4761
349,4728
350,967
351,16219
352,8463
353,921
354,4802
355,16231
356,8442
357,4671
358,812
359,4573
360,941
361,8395
362,824
363,4641
364,4703
365,8644
366,8509
367,850
368,8546
369,4756
370,4683
371,965
372,12392
373,8445
374,867
375,8482
376,8458
377,741
378,754
379,4705
380,4682
381,4699
382,4709
383,8518
384,8442
385,736
386,702
387,799
388,8588
389,889
390,4705
391,4677
392,8570
393,4810
394,918
395,16151
396,862
397,773
398,4748
399,8403
400,739
401,690
402,4529
403,870
404,8390
405,797
406,957
407,12345
408,4866
409,8474
410,831
411,4623
412,828
413,980
414,4686
415,8643
416,12346
417,4643
418,4686
419,874
420,901
421,8393
422,4651
423,823
424,4669
425,4654
426,882
427,4709
428,4747
429,1260
430,20161
431,8578
432,4928
433,4601
434,8574
435,12560
436,8550
437,4644
438,4634
439,776
440,4654
441,4644
442,783
443,4648
444,799
445,862
446,4803
447,817
448,4877
449,12217
450,811
451,960
452,8557
453,842
454,16236
455,4737
456,868
457,4650
458,846
459,12306
460,807
461,786
462,796
463,842
464,796
465,4607
466,899
467,8397
468,927
469,4746
470,8721
471,1008
472,4846
473,8645
474,8520
475,986
476,4759
477,4667
478,803
479,827
480,971
481,845
482,4716
483,4753
484,4727
485,8628
486,8550
487,4795
488,955
489,971
490,4867
491,8566
492,4713
493,835
494,4720
495,826
496,896
497,4665
498,841
499,4682
500,864
501,909
502,8557
503,4739
504,824
505,894
506,980
507,4962
508,12266
509,4726
510,4817
511,4711
512,981
513,4727
514,1057
515,16174
516,4780
517,891
518,931
519,994
520,4850
521,8697
522,4901
523,8671
524,8611
525,968
526,4784
527,4797
528,999
529,4904
530,8733
531,1107
532,8841
533,1255
534,12589
535,4965
536,5074
537,20332
538,5155
