dist,count_sum
0,2450167
1,55351
2,44815
3,27309
4,31704
5,18290
6,16034
7,11005
8,10060
9,13897
10,13866
11,15983
12,11523
13,300
14,9319
15,7188
16,13786
17,4861
18,11540
19,7061
20,4762
21,7010
22,4760
23,2417
24,2480
25,2439
26,2496
27,6929
28,290
29,4774
30,4799
31,13600
32,2514
33,184
34,2481
35,4818
36,4665
37,211
38,2476
39,4719
40,2479
41,4797
42,7014
43,4818
44,4703
45,197
46,270
47,9166
48,283
49,4716
50,2512
51,2494
52,6985
53,7038
54,2441
55,199
56,225
57,2505
58,4772
59,4757
60,2462
61,4670
62,210
63,2440
64,219
65,6938
66,220
67,235
68,310
69,9301
70,4867
71,9126
72,2497
73,2465
74,2494
75,4645
76,202
77,4681
78,2432
79,171
80,174
81,2473
82,2434
83,204
84,213
85,298
86,7015
87,6971
88,248
89,4755
90,2445
91,2456
92,263
93,4844
94,2430
95,2454
96,187
97,244
98,4637
99,161
100,188
101,2400
102,184
103,235
104,2445
105,2450
106,4734
107,2533
108,2508
109,2526
110,317
111,4751
112,4774
113,2572
114,4696
115,226
116,2454
117,217
118,346
119,2530
120,4628
121,244
122,292
123,2523
124,2508
125,2530
126,360
127,9218
128,271
129,2542
130,2505
131,2587
132,9217
133,286
134,246
135,2546
136,2536
137,4749
138,2526
139,2500
140,243
141,2479
142,235
143,221
144,2455
145,242
146,207
147,274
148,339
149,7059
150,2511
151,263
152,2537
153,2587
154,2584
155,2605
156,2533
157,279
158,325
159,2554
160,7053
161,307
162,281
163,2590
164,2592
165,7077
166,337
167,462
168,11552
169,380
170,2640
171,7096
172,7081
173,937
174,4264
175,4895
176,9219
177,287
178,288
179,257
180,256
181,304
182,6981
183,284
184,307
185,7046
186,358
187,4700
188,264
189,2544
190,377
191,4759
192,304
193,2494
194,277
195,342
196,2580
197,4718
198,291
199,4801
200,333
201,4797
202,4755
203,270
204,248
205,2474
206,281
207,274
208,2476
209,4709
210,253
211,238
212,2508
213,265
214,279
215,2490
216,295
217,4804
218,4807
219,2478
220,255
221,278
222,291
223,2532
224,4884
225,4769
226,264
227,2512
228,306
229,369
230,7095
231,4860
232,4860
233,4805
234,2497
235,2572
236,2628
237,4746
238,2506
239,2515
240,245
241,4737
242,2482
243,191
244,211
245,231
246,2443
247,249
248,214
249,227
250,266
251,226
252,569
253,2147
254,287
255,312
256,2662
257,2630
258,472
259,4763
260,1321
261,34016
262,4979
263,497
264,4902
265,332
266,2696
267,4840
268,306
269,2534
270,384
271,2586
272,2610
273,344
274,2587
275,2627
276,4833
277,2563
278,321
279,2501
280,273
281,289
282,311
283,2657
284,2653
285,316
286,2572
287,288
288,4810
289,344
290,2504
291,338
292,2628
293,2558
294,4836
295,289
296,4824
297,2604
298,4886
299,344
300,348
301,2595
302,2649
303,4817
304,2548
305,382
306,304
307,2570
308,342
309,4841
310,2656
311,4775
312,355
313,383
314,2565
315,2674
316,4821
317,378
318,4793
319,373
320,4840
321,326
322,2552
323,2581
324,2540
325,290
326,4762
327,312
328,247
329,280
330,2532
331,2607
332,264
333,2543
334,262
335,2504
336,215
337,223
338,296
339,211
340,256
341,285
342,318
343,2462
344,308
345,2578
346,346
347,7088
348,2604
349,2597
350,374
351,9244
352,342
353,298
354,302
355,4817
356,2501
357,2567
358,240
359,221
360,269
361,248
362,234
363,245
364,2498
365,267
366,246
367,262
368,2512
369,2505
370,256
371,255
372,2510
373,2509
374,258
375,248
376,2512
377,243
378,257
379,283
380,2460
381,229
382,2505
383,2509
384,285
385,227
386,219
387,239
388,271
389,237
390,318
391,2525
392,2477
393,320
394,251
395,2465
396,259
397,242
398,2541
399,2523
400,255
401,200
402,209
403,262
404,2489
405,273
406,321
407,2475
408,2571
409,2537
410,284
411,284
412,298
413,373
414,2508
415,388
416,7063
417,2537
418,347
419,316
420,363
421,4781
422,2554
423,331
424,2556
425,2577
426,345
427,2545
428,361
429,495
430,7165
431,4767
432,433
433,2482
434,4837
435,4874
436,2595
437,2532
438,279
439,267
440,296
441,2496
442,245
443,274
444,260
445,270
446,351
447,278
448,373
449,4745
450,291
451,314
452,2567
453,296
454,4818
455,2564
456,293
457,292
458,311
459,4790
460,309
461,307
462,273
463,297
464,313
465,2547
466,322
467,4762
468,341
469,2585
470,2636
471,371
472,2586
473,2553
474,291
475,370
476,2614
477,2575
478,304
479,313
480,376
481,310
482,2597
483,315
484,2558
485,2567
486,303
487,285
488,298
489,326
490,356
491,2565
492,304
493,266
494,315
495,293
496,358
497,2554
498,290
499,2535
500,286
501,270
502,318
503,296
504,250
505,283
506,324
507,365
508,2547
509,2571
510,394
511,2589
512,344
513,2531
514,316
515,2582
516,2567
517,327
518,325
519,321
520,368
521,2631
522,414
523,2695
524,4864
525,373
526,363
527,2630
528,418
529,2658
530,2674
531,419
532,2728
533,495
534,4984
535,2670
536,458
537,11695
538,2851
539,4896
540,395
541,405
542,2610
543,425
544,2706
545,4984
546,4853
547,425
548,4897
549,368
550,376
551,362
552,2607
553,305
554,367
555,316
556,320
557,312
558,340
559,356
560,370
561,2624
562,417
563,2593
564,2613
565,358
566,370
567,401
568,439
569,4846
570,333
571,355
572,354
573,404
574,2657
575,462
576,7115
577,423
578,2665
579,7042
580,410
581,320
582,302
583,340
584,2614
585,4927
586,370
587,353
588,351
589,387
590,391
591,4867
592,370
593,349
594,436
595,4875
596,334
597,2624
598,2586
599,346
600,382
601,2563
602,398
603,2552
604,331
605,308
606,344
607,352
608,2527
609,302
610,331
611,348
612,342
613,2632
614,2589
615,347
616,380
617,445
618,4880
619,4919
620,415
621,387
622,416
623,2637
624,2605
625,2638
626,394
627,424
628,7114
629,421
630,2591
631,382
632,436
633,4945
634,2547
635,2599
636,350
637,353
638,337
639,394
640,2602
641,2581
642,404
643,2559
644,360
645,316
646,367
647,380
648,353
649,2604
650,418
651,4853
652,2638
653,416
654,2608
655,2684
656,2581
657,393
658,400
659,2570
660,407
661,386
662,2624
663,474
664,4901
665,2604
666,369
667,339
668,370
669,2633
670,2641
671,2646
672,414
673,2644
674,409
675,407
676,468
677,4893
678,2783
679,7092
680,401
681,381
682,363
683,356
684,359
685,352
686,384
687,2656
688,421
689,430
690,2634
691,2597
692,460
693,2619
694,2645
695,2637
696,379
697,349
698,377
699,385
700,399
701,421
702,4939
703,2735
704,2747
705,4865
706,2618
707,349
708,350
709,349
710,352
711,2653
712,365
713,364
714,397
715,2603
716,364
717,403
718,455
719,2688
720,2634
721,4931
722,4871
723,385
724,353
725,388
726,380
727,397
728,2633
729,395
730,391
731,2612
732,362
733,371
734,447
735,2667
736,392
737,403
738,414
739,407
740,2769
741,2733
742,2750
743,2772
744,7305
745,4979
746,470
747,2648
748,2686
749,479
750,2764
751,2735
752,571
753,4971
754,5070
755,4992
756,483
757,2747
758,870
759,9278
760,2787
761,2775
762,2757
763,2759
764,503
765,4942
766,468
767,439
768,510
769,5010
770,2668
771,2675
772,470
773,2602
774,450
775,364
776,390
777,396
778,441
779,2676
780,476
781,2759
782,7196
783,454
784,432
785,404
786,417
787,2675
788,438
789,2751
790,2726
791,2666
792,4977
793,454
794,434
795,421
796,2742
797,456
798,431
799,442
800,457
801,2711
802,2753
803,2767
804,2743
805,2733
806,2755
807,465
808,2694
809,2732
810,2668
811,448
812,478
813,433
814,2693
815,436
816,407
817,2704
818,421
819,511
820,2610
821,388
822,409
823,461
824,2639
825,437
826,415
827,454
828,465
829,2682
830,458
831,458
832,2682
833,449
834,482
835,2731
836,2698
837,2692
838,452
839,456
840,430
841,476
842,553
843,5129
844,9479
845,542
846,4945
847,530
848,2709
849,462
850,442
851,2691
852,489
853,556
854,4957
855,2774
856,471
857,586
858,9455
859,2703
860,467
861,559
862,4972
863,5019
864,531
865,2770
866,2812
867,2764
868,2787
869,2786
870,2786
871,583
872,5056
873,7248
874,520
875,561
876,7310
877,2782
878,4998
879,555
880,553
881,5061
