segments,count
288,6
11,9119
491,3
134,23
215,12
160,18
158,12
464,2
29,1293
131,32
391,3
249,3
478,3
207,5
300,2
173,11
542,3
499,1
74,145
201,2
477,2
435,1
176,15
57,266
31,983
1232,1
285,3
892,1
490,5
70,144
33,863
335,3
479,2
445,2
252,8
114,46
165,9
96,88
133,29
354,3
49,379
84,121
552,4
327,1
511,1
489,1
230,5
951,2
117,52
93,99
425,1
284,1
564,1
50,337
77,142
80,117
311,1
248,6
608,1
227,16
188,10
1216,1
441,1
132,33
195,11
157,23
412,1
447,1
264,6
516,1
231,11
555,2
430,2
221,13
153,23
401,2
217,7
79,121
847,1
302,2
71,153
506,2
154,14
120,50
822,1
225,7
390,1
76,133
224,11
184,7
213,10
167,26
204,6
122,47
143,18
484,1
62,225
169,16
107,80
287,5
21,2532
414,1
416,1
10,10814
102,75
180,14
294,1
162,28
129,34
280,3
240,11
260,10
88,102
413,2
251,10
261,9
149,23
439,2
5,27328
463,3
529,3
63,227
472,1
438,3
331,3
501,3
15,4905
41,600
245,6
148,20
210,9
495,4
566,1
55,262
66,180
586,1
462,2
573,2
239,8
155,12
694,1
150,22
209,11
296,3
512,3
95,106
139,31
236,6
90,99
111,67
14,6252
396,2
175,16
256,14
205,8
258,10
253,9
212,15
200,9
310,2
308,2
1136,1
565,1
763,1
265,5
269,5
282,4
543,1
549,1
135,28
125,29
314,3
146,18
130,41
172,12
17,4015
65,197
492,2
202,6
452,1
44,476
324,2
250,6
37,662
545,1
453,1
192,13
436,2
110,72
127,37
13,6574
309,1
270,5
450,1
99,98
137,18
525,2
216,9
105,73
30,1186
1,89107
47,377
141,22
744,1
366,2
339,1
226,11
214,10
307,2
91,90
43,573
9,12441
203,12
128,35
147,19
379,2
639,1
104,82
470,3
352,1
244,8
273,11
183,8
522,1
103,85
320,5
345,1
152,33
38,658
118,53
465,1
48,357
715,1
100,88
411,3
81,110
140,21
291,4
422,2
196,16
19,3072
268,6
378,1
281,6
51,312
243,10
454,1
191,13
177,6
277,2
123,35
255,10
317,3
312,2
424,2
446,4
427,2
535,1
358,3
163,19
918,2
405,3
746,1
276,3
301,4
164,16
108,70
508,1
329,2
532,1
2,56636
89,92
241,12
370,2
197,15
136,27
151,21
365,1
144,22
142,24
400,1
342,3
900,1
283,5
375,4
509,1
78,104
159,18
494,2
448,3
1024,1
112,54
521,1
544,1
372,4
407,5
106,59
459,1
121,46
109,65
182,10
26,1544
279,5
368,1
298,3
387,2
138,23
350,1
4,32093
518,2
292,3
235,12
168,10
440,1
672,1
94,93
906,1
290,4
115,62
54,348
40,629
101,85
211,5
373,4
171,11
359,1
455,1
337,6
60,231
34,772
332,5
334,2
417,3
481,1
299,1
467,1
178,14
363,3
426,2
198,12
238,11
674,1
503,2
272,7
551,1
313,1
493,2
482,1
469,1
113,58
293,5
571,2
295,2
12,8033
242,8
528,1
189,12
297,4
16,4387
575,1
246,4
1180,1
364,2
374,1
471,2
805,1
208,11
505,2
393,2
507,1
398,2
443,2
274,3
380,2
678,1
262,6
92,81
72,158
28,1364
338,6
449,1
480,2
97,93
362,4
377,4
68,170
584,1
124,39
643,2
267,10
275,9
486,3
39,623
46,451
85,121
530,1
170,13
25,1632
382,2
42,605
193,9
58,243
181,16
1377,1
59,262
8,16059
333,4
547,1
1217,1
739,1
356,1
199,7
527,1
323,6
254,12
247,9
185,8
458,1
20,2657
194,7
631,1
865,1
52,302
18,3460
233,11
266,5
774,1
388,1
234,7
69,165
403,2
421,1
232,13
355,2
219,12
367,1
223,14
406,1
166,22
749,2
278,8
35,743
83,92
336,3
187,6
351,1
1054,1
64,178
434,1
539,1
487,3
286,2
257,7
220,8
145,25
259,9
392,5
558,2
460,3
357,1
45,431
263,7
524,1
346,3
541,1
531,1
86,97
67,170
126,37
206,13
32,930
229,5
385,5
190,7
316,4
587,2
303,1
82,92
7,23664
75,131
442,2
228,7
432,1
381,1
546,2
87,135
237,6
594,1
386,1
510,2
376,2
179,16
395,5
3,39422
61,208
437,2
347,1
325,2
500,1
404,4
383,1
330,3
536,2
517,1
615,1
431,1
409,2
812,1
36,680
340,2
526,1
402,1
98,91
476,1
361,3
174,14
319,1
371,3
161,14
341,3
186,8
415,2
389,3
420,1
321,1
22,2348
6,24180
24,1969
73,151
119,50
423,3
222,5
156,13
53,331
116,65
580,1
271,7
1038,1
23,2155
502,1
498,1
305,3
322,1
315,2
349,2
27,1462
218,9
56,280
